downsample	seed	iteration	class	precision	recall	f1_score	selection strategy
# ---- 1% Training Data: Base Model (seed 42) ----
0.05	7	3	micro avg	0.4839	0.6777	0.5647	prediction confidence
# Seed: 13
0.05	13	1	Kill	0.5682	0.5319	0.5495	prediction confidence
0.05	13	1	Live_In	0.3333	0.9000	0.4865	prediction confidence
0.05	13	1	Located_In	0.7188	0.4894	0.5823	prediction confidence
0.05	13	1	OrgBased_In	0.9000	0.3429	0.4966	prediction confidence
0.05	13	1	Work_For	0.5649	0.9737	0.7150	prediction confidence
0.05	13	1	macro avg	0.6170	0.6476	0.5659	prediction confidence
0.05	13	1	micro avg	0.4936	0.6422	0.5582	prediction confidence
# ---- 5% Training Data: Self-Training Model (entropy)  ----
# Seed: 8
0.05	8	1	Kill	0.7556	0.7234	0.7391	entropy
0.05	8	1	Live_In	0.4847	0.79	0.6008	entropy
0.05	8	1	Located_In	0.6818	0.4787	0.5625	entropy
0.05	8	1	OrgBased_In	0.8182	0.3429	0.4832	entropy
0.05	8	1	Work_For	0.5678	0.8816	0.6907	entropy
0.05	8	1	macro avg	0.6616	0.6433	0.6153	entropy
0.05	8	1	micro avg	0.5986	0.6185	0.6084	entropy
# Seed: 2
0.05	2	1	Kill	0.6735	0.7021	0.6875	entropy
0.05	2	1	Live_In	0.4095	0.86	0.5548	entropy
0.05	2	1	Located_In	0.6711	0.5426	0.6	entropy
0.05	2	1	OrgBased_In	0.7872	0.3524	0.4868	entropy
0.05	2	1	Work_For	0.5217	0.9474	0.6729	entropy
0.05	2	1	macro avg	0.6126	0.6809	0.6004	entropy
0.05	2	1	micro avg	0.5365	0.6611	0.5924	entropy
# Seed: 7
#	Iteration: 1
0.05	7	1	Kill	0.7308	0.8085	0.7677	entropy
0.05	7	1	Live_In	0.5188	0.69	0.5923	entropy
0.05	7	1	Located_In	0.6761	0.5106	0.5818	entropy
0.05	7	1	OrgBased_In	0.8444	0.3619	0.5067	entropy
0.05	7	1	Work_For	0.5965	0.8947	0.7158	entropy
0.05	7	1	macro avg	0.6733	0.6532	0.6328	entropy
0.05	7	1	micro avg	0.6289	0.6185	0.6237	entropy
#	Iteration: 2
0.05	7	2	Kill	0.766	0.766	0.766	entropy
0.05	7	2	Live_In	0.4195	0.73	0.5328	entropy
0.05	7	2	Located_In	0.875	0.1489	0.2545	entropy
0.05	7	2	OrgBased_In	0.8621	0.2381	0.3731	entropy
0.05	7	2	Work_For	0.4966	0.9737	0.6578	entropy
0.05	7	2	macro avg	0.6838	0.5713	0.5169	entropy
0.05	7	2	micro avg	0.5349	0.5261	0.5305	entropy
#	Iteration: 3
0.05	7	3	Kill	0.7742	0.5106	0.6154	entropy
0.05	7	3	Live_In	0.3889	0.7	0.5	entropy
0.05	7	3	Located_In	0.9286	0.1383	0.2407	entropy
0.05	7	3	OrgBased_In	0.8148	0.2095	0.3333	entropy
0.05	7	3	Work_For	0.5071	0.9342	0.6574	entropy
0.05	7	3	macro avg	0.6827	0.4985	0.4694	entropy
0.05	7	3	micro avg	0.5102	0.4739	0.4914	entropy
# Seed: 13
0.05	13	1	Kill	0.7105	0.5745	0.6353	entropy
0.05	13	1	Live_In	0.48	0.72	0.576	entropy
0.05	13	1	Located_In	0.7097	0.4681	0.5641	entropy
0.05	13	1	OrgBased_In	0.8409	0.3524	0.4966	entropy
0.05	13	1	Work_For	0.5469	0.9211	0.6863	entropy
0.05	13	1	macro avg	0.6576	0.6072	0.5917	entropy
0.05	13	1	micro avg	0.5924	0.5924	0.5924	entropy
# ---- 10% Training Data: Base Model (seed 8) ----
0.10	8	0	Kill	0.7885	0.8723	0.8283	NULL
0.10	8	0	Live_In	0.497	0.82	0.6189	NULL
0.10	8	0	Located_In	0.8	0.5532	0.6541	NULL
0.10	8	0	OrgBased_In	0.7528	0.6381	0.6907	NULL
0.10	8	0	Work_For	0.75	0.8684	0.8049	NULL
0.10	8	0	macro avg	0.7176	0.7504	0.7194	NULL
0.10	8	0	micro avg	0.671	0.7299	0.6992	NULL
# ---- 10% Training Data: Self-Training Model (prediction confidence)  ----
# Seed: 8
0.10	8	1	Kill	0.6538	0.7234	0.6869	prediction confidence
0.10	8	1	Live_In	0.4965	0.7	0.5809	prediction confidence
0.10	8	1	Located_In	0.75	0.5426	0.6296	prediction confidence
0.10	8	1	OrgBased_In	0.5592	0.8095	0.6615	prediction confidence
0.10	8	1	Work_For	0.7473	0.8947	0.8144	prediction confidence
0.10	8	1	macro avg	0.6414	0.734	0.6747	prediction confidence
0.10	8	1	micro avg	0.6111	0.7299	0.6652	prediction confidence
# Seed: 2
0.10	2	1	Kill	0.6667	0.7234	0.6939	prediction confidence
0.10	2	1	Live_In	0.4709	0.81	0.5956	prediction confidence
0.10	2	1	Located_In	0.7164	0.5106	0.5963	prediction confidence
0.10	2	1	OrgBased_In	0.4972	0.8381	0.6241	prediction confidence
0.10	2	1	Work_For	0.7326	0.8289	0.7778	prediction confidence
0.10	2	1	macro avg	0.6167	0.7422	0.6575	prediction confidence
0.10	2	1	micro avg	0.5678	0.7441	0.6441	prediction confidence
# Seed: 7
#	Iteration: 1
0.10	7	1	Kill	0.6552	0.8085	0.7238	prediction confidence
0.10	7	1	Live_In	0.4041	0.78	0.5324	prediction confidence
0.10	7	1	Located_In	0.7797	0.4894	0.6013	prediction confidence
0.10	7	1	OrgBased_In	0.5982	0.6381	0.6175	prediction confidence
0.10	7	1	Work_For	0.6562	0.8289	0.7326	prediction confidence
0.10	7	1	macro avg	0.6187	0.709	0.6415	prediction confidence
0.10	7	1	micro avg	0.5637	0.6919	0.6213	prediction confidence
#	Iteration: 2
0.10	7	2	Kill	0.4857	0.7234	0.5812	prediction confidence
0.10	7	2	Live_In	0.454	0.79	0.5766	prediction confidence
0.10	7	2	Located_In	0.5	0.5638	0.53	prediction confidence
0.10	7	2	OrgBased_In	0.5029	0.8381	0.6286	prediction confidence
0.10	7	2	Work_For	0.7386	0.8553	0.7927	prediction confidence
0.10	7	2	macro avg	0.5362	0.7541	0.6218	prediction confidence
0.10	7	2	micro avg	0.5204	0.7559	0.6164	prediction confidence
#	Iteration: 3
0.10	7	3	Kill	0.5312	0.7234	0.6126	prediction confidence
0.10	7	3	Live_In	0.381	0.96	0.5455	prediction confidence
0.10	7	3	Located_In	0.287	0.6596	0.4	prediction confidence
0.10	7	3	OrgBased_In	0.4596	0.8667	0.6007	prediction confidence
0.10	7	3	Work_For	0.5246	0.8421	0.6465	prediction confidence
0.10	7	3	macro avg	0.4367	0.8104	0.561	prediction confidence
0.10	7	3	micro avg	0.4073	0.8223	0.5447	prediction confidence
# Seed: 13
0.10	13	1	Kill	0.5417	0.8298	0.6555	prediction confidence
0.10	13	1	Live_In	0.42	0.84	0.56	prediction confidence
0.10	13	1	Located_In	0.549	0.5957	0.5714	prediction confidence
0.10	13	1	OrgBased_In	0.4235	0.7905	0.5515	prediction confidence
0.10	13	1	Work_For	0.6535	0.8684	0.7458	prediction confidence
0.10	13	1	macro avg	0.5175	0.7849	0.6168	prediction confidence
0.10	13	1	micro avg	0.4888	0.7773	0.6002	prediction confidence
# ---- 10% Training Data: Self-Training Model (entropy)  ----
# Seed: 8
0.10	8	1	Kill	0.8	0.8511	0.8247	entropy
0.10	8	1	Live_In	0.5	0.72	0.5902	entropy
0.10	8	1	Located_In	0.8103	0.5	0.6184	entropy
0.10	8	1	OrgBased_In	0.8046	0.6667	0.7292	entropy
0.10	8	1	Work_For	0.7053	0.8816	0.7836	entropy
0.10	8	1	macro avg	0.724	0.7239	0.7092	entropy
0.10	8	1	micro avg	0.682	0.7014	0.6916	entropy
# Seed: 2
0.10	2	1	Kill	0.7778	0.7447	0.7609	entropy
0.10	2	1	Live_In	0.4184	0.82	0.5541	entropy
0.10	2	1	Located_In	0.8095	0.5426	0.6497	entropy
0.10	2	1	OrgBased_In	0.6429	0.6857	0.6636	entropy
0.10	2	1	Work_For	0.6699	0.9079	0.7709	entropy
0.10	2	1	macro avg	0.6637	0.7402	0.6798	entropy
0.10	2	1	micro avg	0.5954	0.7322	0.6567	entropy
# Seed: 7
#	Iteration: 1
0.10	7	1	Kill	0.6897	0.8511	0.7619	entropy
0.10	7	1	Live_In	0.4483	0.78	0.5693	entropy
0.10	7	1	Located_In	0.7887	0.5957	0.6788	entropy
0.10	7	1	OrgBased_In	0.7753	0.6571	0.7113	entropy
0.10	7	1	Work_For	0.6869	0.8947	0.7771	entropy
0.10	7	1	macro avg	0.6778	0.7557	0.6997	entropy
0.10	7	1	micro avg	0.6334	0.737	0.6813	entropy
#	Iteration: 2
0.10	7	2	Kill	0.6667	0.766	0.7129	entropy
0.10	7	2	Live_In	0.3493	0.73	0.4725	entropy
0.10	7	2	Located_In	0.7317	0.3191	0.4444	entropy
0.10	7	2	OrgBased_In	0.8611	0.2952	0.4397	entropy
0.10	7	2	Work_For	0.5478	0.8289	0.6597	entropy
0.10	7	2	macro avg	0.6313	0.5879	0.5458	entropy
0.10	7	2	micro avg	0.5121	0.5521	0.5314	entropy
#	Iteration: 3
0.10	7	3	Kill	0.8056	0.617	0.6988	entropy
0.10	7	3	Live_In	0.3234	0.76	0.4537	entropy
0.10	7	3	Located_In	0.6667	0.0213	0.0412	entropy
0.10	7	3	OrgBased_In	0.9231	0.2286	0.3664	entropy
0.10	7	3	Work_For	0.5093	0.7237	0.5978	entropy
0.10	7	3	macro avg	0.6456	0.4701	0.4316	entropy
0.10	7	3	micro avg	0.4559	0.4408	0.4482	entropy
# Seed: 13
0.10	13	1	Kill	0.8444	0.8085	0.8261	entropy
0.10	13	1	Live_In	0.4491	0.75	0.5618	entropy
0.10	13	1	Located_In	0.7727	0.5426	0.6375	entropy
0.10	13	1	OrgBased_In	0.7419	0.6571	0.697	entropy
0.10	13	1	Work_For	0.7083	0.8947	0.7907	entropy
0.10	13	1	macro avg	0.7033	0.7306	0.7026	entropy
0.10	13	1	micro avg	0.6445	0.7133	0.6772	entropy
# ---- 100% Training Data: Base Model ----
